ocupacao,percentual_corrigido_2023,percentual_corrigido_2024,valor_corrigido_2023,valor_corrigido_2024,ano,valor
760,0.0009504266012710504,0.0011134226753708614,71666503.73302618,91705309.6630323,2024,70394343.07
770,0.00044621341069509826,0.0004110618179173039,33646527.80187357,33856460.92594557,2024,25988716.84
780,0.00044491480887029873,0.0003544216042277312,33548607.29712313,29191378.69735481,2024,22407731.18
810,0.0001941316215714091,0.0001912607341668928,14638410.334306361,15752889.932218835,2024,12092149.76
820,0.00010386211369817135,0.00010550438514888842,7831677.426868661,8689702.953699917,2024,6670343.66
830,2.862557444614512e-05,3.449942405603355e-05,2158498.967896224,2841490.869764282,2024,2181170.14
840,0.0003404142374078573,0.0003529196609201114,25668787.240739208,29067673.496115115,2024,22312773.25
860,6.934464816611185e-05,8.388701376446706e-05,5228902.978952655,6909222.116762746,2024,5303620.41
870,8.00689887191907e-05,9.128120151890312e-05,6037567.205368052,7518232.776170506,2024,5771105.94
900,0.005807587761410395,0.005204787474833086,437918624.5696181,428684144.5463266,2024,329064247.76
,-,-,-,-,2024,3671736591.77
Total Não Determinadas,-,-,-,-,2024,19140050822.06
Total Determinadas,-,-,-,-,2024,63223378351.4
Total Geral,-,-,75404564263.23,82363429173.45999,2024,82363429173.46
Percentual Não Determinadas,,,,,2024,0.23238530758293763
